n,a_n,b_n,ratio_n2,ratio_n2logn,ratio_n2p5
1,2,1,2.00000000,2.88539008,2.00000000
2,4,2,1.00000000,1.44269504,0.70710678
3,4,1,0.44444444,0.40455077,0.25660012
4,8,4,0.50000000,0.36067376,0.25000000
5,13,8,0.52000000,0.32309417,0.23255107
6,8,2,0.22222222,0.12402458,0.09072184
7,8,1,0.16326531,0.08390177,0.06170849
8,21,13,0.32812500,0.15779477,0.11600971
9,13,4,0.16049383,0.07304389,0.05349794
10,31,21,0.31000000,0.13463129,0.09803061
11,13,2,0.10743802,0.04480513,0.03239378
12,13,1,0.09027778,0.03633045,0.02606095
13,21,8,0.12426036,0.04844554,0.03446362
14,45,31,0.22959184,0.08699767,0.06136100
15,81,66,0.36000000,0.13293697,0.09295160
16,97,81,0.37890625,0.13666154,0.09472656
17,21,4,0.07266436,0.02564733,0.01762370
18,31,13,0.09567901,0.03310267,0.02255176
19,21,2,0.05817175,0.01975648,0.01334551
20,21,1,0.05250000,0.01752493,0.01173936
21,66,45,0.14965986,0.04915709,0.03265846
22,166,144,0.34297521,0.11095778,0.07312256
23,31,8,0.05860113,0.01868960,0.01221918
24,45,21,0.07812500,0.02458265,0.01594720
25,225,200,0.36000000,0.11184029,0.07200000
26,333,307,0.49260355,0.15119366,0.09660750
27,31,4,0.04252401,0.01290234,0.00818375
28,444,416,0.56632653,0.16995551,0.10702565
29,31,2,0.03686088,0.01094673,0.00684489
30,31,1,0.03444444,0.01012715,0.00628867
31,97,66,0.10093652,0.02939339,0.01812873
32,45,13,0.04394531,0.01267994,0.00776851
33,625,592,0.57392103,0.16414122,0.09990683
34,200,166,0.17301038,0.04906202,0.02967104
35,66,31,0.05387755,0.01515395,0.00910697
36,81,45,0.06250000,0.01744096,0.01041667
37,45,8,0.03287071,0.00910314,0.00540391
38,717,679,0.49653740,0.13650189,0.08054900
39,974,935,0.64036818,0.17479389,0.10254097
40,1175,1135,0.73437500,0.19907807,0.11611488
41,45,4,0.02676978,0.00720863,0.00418074
42,1492,1450,0.84580499,0.22629207,0.13051054
43,45,2,0.02433748,0.00647067,0.00371143
44,45,1,0.02324380,0.00614235,0.00350413
45,66,21,0.03259259,0.00856199,0.00485862
46,1721,1675,0.81332703,0.21243228,0.11991853
47,144,97,0.06518787,0.01693126,0.00950863
48,2162,2114,0.93836806,0.24239714,0.13544176
49,2518,2469,1.04872970,0.26947023,0.14981853
50,81,31,0.03240000,0.00828216,0.00458205
51,1772,1721,0.68127643,0.17327229,0.09539778
52,97,45,0.03587278,0.00907886,0.00497466
53,66,13,0.02349591,0.00591793,0.00322741
54,679,625,0.23285322,0.05837407,0.03168731
55,2962,2907,0.97917355,0.24434543,0.13203174
56,200,144,0.06377551,0.01584346,0.00852236
57,3358,3301,1.03354878,0.25563583,0.13689688
58,66,8,0.01961950,0.00483186,0.00257617
59,225,166,0.06463660,0.01585187,0.00841497
60,81,21,0.02250000,0.00549539,0.00290474
61,3779,3718,1.01558721,0.24704898,0.13003262
62,66,4,0.01716961,0.00416018,0.00218054
63,144,81,0.03628118,0.00875694,0.00457100
64,66,2,0.01611328,0.00387443,0.00201416
65,66,1,0.01562130,0.00374218,0.00193758
66,97,31,0.02226814,0.00531503,0.00274102
67,4348,4281,0.96858989,0.23035926,0.11833209
68,81,13,0.01751730,0.00415150,0.00212428
69,166,97,0.03486662,0.00823471,0.00419745
70,5182,5112,1.05755102,0.24892367,0.12640152
71,5750,5679,1.14064670,0.26758911,0.13536986
72,6282,6210,1.21180556,0.28335286,0.14281265
73,81,8,0.01519985,0.00354271,0.00177901
74,7036,6962,1.28487947,0.29852696,0.14936420
75,7614,7539,1.35360000,0.31351563,0.15630026
76,97,21,0.01679363,0.00387778,0.00192636
77,81,4,0.01366166,0.00314509,0.00155689
78,144,66,0.02366864,0.00543269,0.00267995
79,81,2,0.01297869,0.00297033,0.00146022
80,81,1,0.01265625,0.00288822,0.00141501
81,225,144,0.03429355,0.00780383,0.00381039
82,307,225,0.04565735,0.01036085,0.00504201
83,416,333,0.06038612,0.01366560,0.00662824
84,97,13,0.01374717,0.00310263,0.00149994
85,166,81,0.02297578,0.00517164,0.00249207
86,8201,8115,1.10884262,0.24893493,0.11956957
87,679,592,0.08970802,0.02008730,0.00961771
88,8903,8815,1.14966426,0.25677413,0.12255462
89,97,8,0.01224593,0.00272821,0.00129807
90,9910,9820,1.22345679,0.27189079,0.12896367
91,10247,10156,1.23741094,0.27431822,0.12971591
92,717,625,0.08471172,0.01873412,0.00883181
93,97,4,0.01121517,0.00247433,0.00116296
94,11657,11563,1.31926211,0.29037564,0.13607150
95,97,2,0.01074792,0.00236017,0.00110271
96,97,1,0.01052517,0.00230595,0.00107422
97,1772,1675,0.18833032,0.04116770,0.01912205
98,12320,12222,1.28279883,0.27978363,0.12958225
99,144,45,0.01469238,0.00319739,0.00147664
100,166,66,0.01660000,0.00360464,0.00166000
101,11758,11657,1.15263209,0.24975124,0.11469118
102,14310,14208,1.37543253,0.29739256,0.13618811
103,200,97,0.01885192,0.00406753,0.00185753
104,15580,15476,1.44045858,0.31015016,0.14124858
105,16652,16547,1.51038549,0.32453768,0.14739853
106,17531,17425,1.56025276,0.33457127,0.15154514
107,307,200,0.02681457,0.00573840,0.00259226
108,333,225,0.02854938,0.00609752,0.00274717
109,416,307,0.03501389,0.00746350,0.00335372
110,18450,18340,1.52479339,0.32439097,0.14538335
111,444,333,0.03603604,0.00765173,0.00342039
112,19690,19578,1.56967474,0.33266401,0.14832032
113,144,31,0.01127731,0.00238553,0.00106088
114,22103,21989,1.70075408,0.35909688,0.15929021
115,23164,23049,1.75153119,0.36913725,0.16333113
116,25080,24964,1.86385256,0.39209366,0.17305437
117,27470,27353,2.00672072,0.42138753,0.18552140
118,28745,28627,2.06442114,0.43273058,0.19004537
119,200,81,0.01412330,0.00295521,0.00129468
120,29650,29530,2.05902778,0.43008487,0.18796266
121,166,45,0.01133802,0.00236416,0.00103073
122,31023,30901,2.08431873,0.43386961,0.18870535
123,144,21,0.00951814,0.00197793,0.00085822
124,31864,31740,2.07232050,0.42991690,0.18609987
125,717,592,0.04588800,0.00950394,0.00410435
126,32716,32590,2.06072058,0.42609604,0.18358358
127,37391,37264,2.31824664,0.47856257,0.20571112
128,225,97,0.01373291,0.00283034,0.00121383
129,37918,37789,2.27858903,0.46886358,0.20061858
130,42807,42677,2.53295858,0.52037815,0.22215516
131,144,13,0.00839112,0.00172119,0.00073314
132,44373,44241,2.54665978,0.52155705,0.22165828
133,333,200,0.01882526,0.00384947,0.00163236
134,200,66,0.01113834,0.00227413,0.00096221
135,166,31,0.00910837,0.00185685,0.00078392
136,144,8,0.00778547,0.00158478,0.00066760
137,444,307,0.02365603,0.00480815,0.00202107
138,47484,47346,2.49338374,0.50603925,0.21225092
139,51365,51226,2.65850629,0.53876185,0.22549156
140,144,4,0.00734694,0.00148674,0.00062093
141,307,166,0.01544188,0.00312035,0.00130044
142,144,2,0.00714144,0.00144102,0.00059930
143,144,1,0.00704191,0.00141893,0.00058887
144,225,81,0.01085069,0.00218332,0.00090422
145,166,21,0.00789536,0.00158645,0.00065567
146,54866,54720,2.57393507,0.51648039,0.21302038
147,56343,56196,2.60738581,0.52247691,0.21505356
148,592,444,0.02702703,0.00540842,0.00222161
149,58177,58028,2.62046755,0.52368019,0.21467707
150,61565,61415,2.73622222,0.54608289,0.22341161
151,47635,47484,2.08916276,0.41639351,0.17001365
152,64502,64350,2.79181094,0.55570807,0.22644577
153,166,13,0.00709129,0.00140968,0.00057330
154,67680,67526,2.85376961,0.56656670,0.22996331
155,200,45,0.00832466,0.00165060,0.00066865
156,70690,70534,2.90475016,0.57521445,0.23256614
157,75192,75035,3.05050915,0.60331504,0.24345713
158,166,8,0.00664958,0.00131347,0.00052901
159,225,66,0.00889996,0.00175580,0.00070581
160,78520,78360,3.06718750,0.60435122,0.24248246
161,1135,974,0.04378689,0.00861708,0.00345089
162,166,4,0.00632526,0.00124327,0.00049696
163,307,144,0.01155482,0.00226843,0.00090504
164,166,2,0.00617192,0.00121021,0.00048195
165,166,1,0.00609734,0.00119416,0.00047468
166,80720,80554,2.92930759,0.57302711,0.22735836
167,333,166,0.01194019,0.00233298,0.00092396
168,85656,85488,3.03486395,0.59228831,0.23414484
169,200,31,0.00700256,0.00136505,0.00053866
170,87498,87328,3.02761246,0.58951154,0.23220728
171,89806,89635,3.07123559,0.59732333,0.23486326
172,91591,91419,3.09596403,0.60145068,0.23606504
173,96004,95831,3.20772495,0.62246137,0.24387881
174,100554,100380,3.32124455,0.64376991,0.25178290
175,101977,101802,3.32986122,0.64472395,0.25171385
176,592,416,0.01911157,0.00369628,0.00144059
177,110263,110086,3.51951866,0.67994916,0.26454322
178,116176,115998,3.66670875,0.70761519,0.27483144
179,200,21,0.00624200,0.00120330,0.00046655
180,225,45,0.00694444,0.00133728,0.00051761
181,625,444,0.01907756,0.00366982,0.00141802
182,120441,120259,3.63606448,0.69870481,0.26952303
183,1675,1492,0.05001642,0.00960103,0.00369732
184,125172,124988,3.69718809,0.70896139,0.27256032
185,130866,130681,3.82369613,0.73245891,0.28112373
186,134215,134029,3.87949474,0.74238094,0.28445836
187,200,13,0.00571935,0.00109333,0.00041824
188,141457,141269,4.00229176,0.76431512,0.29189713
189,333,144,0.00932225,0.00177846,0.00067809
190,143416,143226,3.97274238,0.75714202,0.28821302
191,416,225,0.01140320,0.00217110,0.00082511
192,200,8,0.00542535,0.00103193,0.00039154
193,146489,146296,3.93269618,0.74727868,0.28308167
194,225,31,0.00597832,0.00113487,0.00042922
195,11758,11563,0.30921762,0.05864169,0.02214353
196,200,4,0.00520616,0.00098637,0.00037187
197,152791,152594,3.93699915,0.74519162,0.28049958
198,200,2,0.00510152,0.00096469,0.00036255
199,200,1,0.00505038,0.00095411,0.00035801
200,1135,935,0.02837500,0.00535547,0.00200642
201,1175,974,0.02908344,0.00548402,0.00205139
202,159346,159144,3.90515636,0.73567434,0.27476584
203,161882,161679,3.92831663,0.73934958,0.27571378
204,225,21,0.00540657,0.00101663,0.00037854
205,173107,172902,4.11914337,0.77383724,0.28769345
206,175025,174819,4.12444622,0.77412577,0.28736379
207,177953,177746,4.15302574,0.77878206,0.28865524
208,182377,182169,4.21544471,0.78977323,0.29228850
209,625,416,0.01430828,0.00267828,0.00098972
210,307,97,0.00696145,0.00130191,0.00048039
211,191853,191642,4.30926978,0.80519133,0.29666237
212,225,13,0.00500623,0.00093459,0.00034383
213,192538,192325,4.24382287,0.79156717,0.29078195
214,196986,196772,4.30138003,0.80160255,0.29403629
215,202126,201911,4.37265549,0.81417803,0.29821263
216,416,200,0.00891632,0.00165877,0.00060668
217,225,8,0.00477819,0.00088816,0.00032436
218,935,717,0.01967427,0.00365387,0.00133251
219,444,225,0.00925752,0.00171783,0.00062557
220,214796,214576,4.43793388,0.82281059,0.29920544
221,225,4,0.00460679,0.00085340,0.00030989
222,223030,222808,4.52540378,0.83762243,0.30372522
223,225,2,0.00452452,0.00083676,0.00030298
224,225,1,0.00448422,0.00082862,0.00029961
225,1675,1450,0.03308642,0.00610890,0.00220576
226,307,81,0.00601065,0.00110887,0.00039982
227,232378,232151,4.50965476,0.83128043,0.29931630
228,241429,241201,4.64429440,0.85540592,0.30757591
229,1721,1492,0.03281783,0.00603966,0.00216866
230,247318,247088,4.67519849,0.85971502,0.30827346
231,259292,259061,4.85920429,0.89283928,0.31971217
232,261874,261642,4.86537604,0.89326430,0.31942759
233,276315,276082,5.08970510,0.93371293,0.33343767
234,281793,281559,5.14634013,0.94336154,0.33642678
235,679,444,0.01229516,0.00225203,0.00080205
236,333,97,0.00597889,0.00109427,0.00038919
237,285008,284771,5.07411562,0.92795534,0.32959923
238,290339,290101,5.12567968,0.93666414,0.33224847
239,303020,302781,5.30487912,0.96866875,0.34314410
240,1175,935,0.02039931,0.00372207,0.00131677
241,307,66,0.00528572,0.00096370,0.00034048
242,308371,308129,5.26553856,0.95930011,0.33848164
243,321815,321572,5.44996528,0.99215444,0.34961544
244,444,200,0.00745767,0.00135664,0.00047743
245,324374,324129,5.40398167,0.98231740,0.34524772
246,10156,9910,0.16782339,0.03048379,0.01070003
247,332439,332192,5.44901572,0.98904187,0.34671257
248,340183,339935,5.53107115,1.00319990,0.35122337
249,350537,350288,5.65373139,1.02469953,0.35829067
250,416,166,0.00665600,0.00120548,0.00042096
251,356293,356042,5.65535468,1.02350970,0.35696282
252,333,81,0.00524376,0.00094834,0.00033033
253,359021,358768,5.60891437,1.01364894,0.35262943
254,380309,380055,5.89480129,1.06455580,0.36987273
255,388969,388714,5.98183775,1.07950790,0.37459721
256,935,679,0.01426697,0.00257286,0.00089169
257,974,717,0.01474663,0.00265749,0.00091987
258,395027,394769,5.93454420,1.06871734,0.36946858
259,592,333,0.00882515,0.00158816,0.00054837
260,396912,396652,5.87147929,1.05589201,0.36413369
261,407870,407609,5.98743412,1.07600183,0.37061287
262,307,45,0.00447235,0.00080317,0.00027630
263,679,416,0.00981654,0.00176171,0.00060531
264,411863,411599,5.90942091,1.05980539,0.36369972
265,427170,426905,6.08287647,1.09017402,0.37366813
266,430176,429910,6.07971055,1.08887160,0.37277097
267,333,66,0.00467113,0.00083603,0.00028587
268,455815,455547,6.34627701,1.13509064,0.38766057
269,469048,468779,6.48205525,1.15860405,0.39521788
270,477315,477045,6.54753086,1.16953151,0.39847004
271,1721,1450,0.02343378,0.00418302,0.00142350
272,416,144,0.00562284,0.00100304,0.00034093
273,717,444,0.00962042,0.00171503,0.00058225
274,484106,483832,6.44821248,1.14877344,0.38955076
275,1450,1175,0.01917355,0.00341363,0.00115621
276,307,31,0.00403014,0.00071706,0.00024259
277,486395,486118,6.33912862,1.12715307,0.38088132
278,444,166,0.00574504,0.00102087,0.00034456
279,504303,504024,6.47862951,1.15048586,0.38786540
280,1772,1492,0.02260204,0.00401116,0.00135073
281,518853,518572,6.57100341,1.16541151,0.39199320
282,529292,529010,6.65575172,1.17969893,0.39634425
283,537967,537684,6.71711471,1.18982869,0.39929102
284,546282,545998,6.77298651,1.19897635,0.40190281
285,592,307,0.00728840,0.00128941,0.00043173
286,307,21,0.00375324,0.00066359,0.00022193
287,561833,561546,6.82092778,1.20522117,0.40262664
288,333,45,0.00401476,0.00070895,0.00023657
289,47635,47346,0.57033560,0.10065172,0.03354915
290,572003,571713,6.80146254,1.19957767,0.39939563
291,582172,581881,6.87488339,1.21179123,0.40301280
292,625,333,0.00733017,0.00129126,0.00042897
293,595242,594949,6.93359270,1.22066585,0.40506481
294,307,13,0.00355176,0.00062492,0.00020714
295,974,679,0.01119219,0.00196804,0.00065163
296,597817,597521,6.82314874,1.19907166,0.39658746
297,606740,606443,6.87843644,1.20807166,0.39912736
298,641667,641369,7.22565425,1.26830537,0.41857091
299,307,8,0.00343397,0.00060240,0.00019859
300,444,144,0.00493333,0.00086492,0.00028483
301,717,416,0.00791382,0.00138666,0.00045614
302,333,31,0.00365116,0.00063938,0.00021010
303,307,4,0.00334390,0.00058524,0.00019210
304,648566,648262,7.01789733,1.22754300,0.40250402
305,307,2,0.00330019,0.00057692,0.00018897
306,307,1,0.00327865,0.00057283,0.00018743
307,2469,2162,0.02619656,0.00457434,0.00149512
308,667589,667281,7.03732712,1.22813343,0.40098893
309,681202,680893,7.13442465,1.24437467,0.40586324
310,935,625,0.00972945,0.00169604,0.00055260
311,682410,682099,7.05544814,1.22921650,0.40007776
312,333,21,0.00342086,0.00059566,0.00019367
313,710716,710403,7.25449887,1.26248562,0.41004852
314,715352,715038,7.25538561,1.26193941,0.40944510
315,1450,1135,0.01461325,0.00254030,0.00082336
316,719377,719061,7.20414397,1.25164465,0.40526476
317,1492,1175,0.01484740,0.00257816,0.00083391
318,625,307,0.00618053,0.00107263,0.00034659
319,416,97,0.00408801,0.00070908,0.00022888
320,333,13,0.00325195,0.00056376,0.00018179
321,740509,740188,7.18654710,1.24519110,0.40111394
322,1772,1450,0.01709039,0.00295960,0.00095241
323,775184,774861,7.43018720,1.28602186,0.41342667
324,785970,785646,7.48713992,1.29518632,0.41595222
325,333,8,0.00315266,0.00054508,0.00017488
326,803054,802728,7.55630622,1.30576123,0.41850509
327,807754,807427,7.55411535,1.30469211,0.41774353
328,821405,821077,7.63501078,1.31796873,0.42157295
329,333,4,0.00307647,0.00053079,0.00016961
330,829497,829167,7.61705234,1.31349037,0.41930493
331,333,2,0.00303940,0.00052384,0.00016706
332,333,1,0.00302112,0.00052042,0.00016581
333,833472,833139,7.51627303,1.29409240,0.41188922
334,858359,858025,7.69442253,1.32408120,0.42102007
335,416,81,0.00370684,0.00063756,0.00020253
336,10156,9820,0.08995890,0.01546453,0.00490766
337,10247,9910,0.09022709,0.01550271,0.00491498
338,871478,871140,7.62821680,1.31000458,0.41492029
339,3301,2962,0.02872408,0.00493033,0.00156008
340,893874,893534,7.73247405,1.32656480,0.41935228
341,909131,908790,7.81839681,1.34063004,0.42338993
342,2114,1772,0.01807394,0.00309760,0.00097733
343,935,592,0.00794737,0.00136138,0.00042912
344,922507,922163,7.79565813,1.33472632,0.42031372
345,945911,945566,7.94716236,1.35999007,0.42786084
346,679,333,0.00567176,0.00097012,0.00030492
347,444,97,0.00368743,0.00063040,0.00019795
348,965711,965363,7.97422876,1.36260302,0.42746353
349,974,625,0.00799665,0.00136576,0.00042805
350,416,66,0.00339592,0.00057971,0.00018152
351,967725,967374,7.85484696,1.34023775,0.41926071
352,1003143,1002791,8.09613088,1.38073672,0.43152523
353,1024730,1024377,8.22356331,1.40179120,0.43769611
354,1044403,1044049,8.33415526,1.41995803,0.44295535
355,2469,2114,0.01959135,0.00333633,0.00103980
356,2518,2162,0.01986807,0.00338184,0.00105301
357,1492,1135,0.01170664,0.00199169,0.00061958
358,1053518,1053160,8.22007740,1.39784564,0.43444459
359,1060097,1059738,8.22539397,1.39808656,0.43411969
360,3718,3358,0.02868827,0.00487390,0.00151200
361,1093343,1092982,8.38961487,1.42465423,0.44155868
362,1101197,1100835,8.40326150,1.42630159,0.44166562
363,444,81,0.00336953,0.00057165,0.00017685
364,1122301,1121937,8.47045194,1.43636271,0.44397232
365,1131194,1130829,8.49085382,1.43915280,0.44443160
366,1152667,1152301,8.60481800,1.45779308,0.44978104
367,592,225,0.00439531,0.00074429,0.00022943
368,1172073,1171705,8.65483961,1.46491505,0.45116470
369,1179299,1178930,8.66106301,1.46529538,0.45087693
370,1225150,1224780,8.94923302,1.51335562,0.46524847
371,416,45,0.00302236,0.00051086,0.00015691
372,679,307,0.00490664,0.00082898,0.00025440
373,1240465,1240092,8.91593413,1.50566851,0.46164957
374,1261472,1261098,9.01850210,1.52230127,0.46633564
375,1291328,1290953,9.18277689,1.54933212,0.47419656
376,1299778,1299402,9.19376698,1.55048971,0.47413233
377,1306411,1306034,9.19172723,1.54945167,0.47339804
378,444,66,0.00310742,0.00052358,0.00015983
379,1348211,1347832,9.38597615,1.58078634,0.48212521
380,1360475,1360095,9.42157202,1.58607751,0.48331645
381,1382600,1382219,9.52459683,1.60271216,0.48795988
382,974,592,0.00667471,0.00112266,0.00034151
383,1394362,1393979,9.50556620,1.59810193,0.48571174
384,717,333,0.00486247,0.00081713,0.00024814
385,416,31,0.00280654,0.00047143,0.00014303
386,1419337,1418951,9.52600741,1.59944048,0.48486101
387,1464958,1464571,9.78145010,1.64161680,0.49721905
388,1496948,1496560,9.94359124,1.66810641,0.50480936
389,2907,2518,0.01921082,0.00322136,0.00097403
390,2162,1772,0.01421433,0.00238250,0.00071977
391,1516297,1515906,9.91815203,1.66169174,0.50158251
392,592,200,0.00385256,0.00064518,0.00019458
393,2114,1721,0.01368737,0.00229123,0.00069044
394,3301,2907,0.02126440,0.00355809,0.00107128
395,416,21,0.00266624,0.00044594,0.00013415
396,3358,2962,0.02141363,0.00358003,0.00107608
397,1518601,1518204,9.63524291,1.61018474,0.48357898
398,37789,37391,0.23856089,0.03985013,0.01195798
399,444,45,0.00278893,0.00046568,0.00013962
400,625,225,0.00390625,0.00065197,0.00019531
401,1566396,1565995,9.74120808,1.62517030,0.48645272
402,1589811,1589409,9.83769585,1.64058608,0.49065967
403,416,13,0.00256143,0.00042698,0.00012759
404,2518,2114,0.01542741,0.00257063,0.00076754
405,1598718,1598313,9.74679470,1.62341406,0.48432212
406,1607082,1606676,9.74958140,1.62321148,0.48386360
407,1642991,1642584,9.91850841,1.65066014,0.49164221
408,416,8,0.00249904,0.00041573,0.00012372
409,1656093,1655684,9.90006636,1.64624797,0.48952678
410,717,307,0.00426532,0.00070898,0.00021065
411,1695475,1695064,10.03708834,1.66768013,0.49509306
412,416,4,0.00245075,0.00040703,0.00012074
413,444,31,0.00260305,0.00043215,0.00012809
414,416,2,0.00242713,0.00040278,0.00011929
415,416,1,0.00241544,0.00040069,0.00011857
416,1727381,1726965,9.98163022,1.65514030,0.48938969
417,3718,3301,0.02138146,0.00354403,0.00104705
418,1135,717,0.00649596,0.00107630,0.00031773
419,1746907,1746488,9.95042749,1.64800268,0.48611019
420,1772852,1772432,10.05018141,1.66386715,0.49039864
421,3779,3358,0.02132125,0.00352847,0.00103913
422,1785186,1784764,10.02440421,1.65829535,0.48798036
423,444,21,0.00248143,0.00041033,0.00012065
424,1793361,1792937,9.97553066,1.64892069,0.48445459
425,625,200,0.00346021,0.00057174,0.00016784
426,592,166,0.00326214,0.00053880,0.00015805
427,10247,9820,0.05620060,0.00927895,0.00271974
428,1824523,1824095,9.96005656,1.64381153,0.48143751
429,1847189,1846760,10.03683418,1.65584517,0.48458292
430,1880931,1880501,10.17269335,1.67761439,0.49057083
431,444,13,0.00239017,0.00039402,0.00011513
432,1926203,1925771,10.32130380,1.70082069,0.49658396
433,1948955,1948522,10.39503651,1.71231850,0.49955357
434,1953451,1953017,10.37105800,1.70771973,0.49782671
435,1977546,1977111,10.45076496,1.72019255,0.50107583
436,444,8,0.00233566,0.00038430,0.00011186
437,1983187,1982750,10.38486351,1.70805553,0.49677539
438,2907,2469,0.01515294,0.00249135,0.00072404
439,2114,1675,0.01096922,0.00180281,0.00052353
440,444,4,0.00229339,0.00037678,0.00010933
441,2162,1721,0.01111677,0.00182570,0.00052937
442,444,2,0.00227268,0.00037310,0.00010810
443,444,1,0.00226243,0.00037128,0.00010749
444,2962,2518,0.01502516,0.00246483,0.00071306
445,2017370,2016925,10.18745108,1.67060134,0.48293150
446,2045298,2044852,10.28221963,1.68552164,0.48687721
447,2083000,2082553,10.42495583,1.70829262,0.49308349
448,592,144,0.00294962,0.00048316,0.00013936
449,2099636,2099187,10.41480945,1.70538242,0.49150525
450,2106887,2106437,10.40438025,1.70305428,0.49046719
451,3358,2907,0.01650926,0.00270136,0.00077739
452,2140204,2139752,10.47558540,1.71346581,0.49273009
453,2158397,2157944,10.51804258,1.71978877,0.49418075
454,679,225,0.00329426,0.00053845,0.00015461
455,2164773,2164318,10.45657771,1.70850810,0.49021192
456,1135,679,0.00545841,0.00089153,0.00025561
457,2192110,2191653,10.49614793,1.71374539,0.49098909
458,1175,717,0.00560153,0.00091426,0.00026174
459,625,166,0.00296657,0.00048402,0.00013847
460,6210,5750,0.02934783,0.00478662,0.00136835
461,2255614,2255153,10.61360524,1.73046086,0.49432488
462,2315745,2315283,10.84942655,1.76828487,0.50476100
463,2327878,2327415,10.85921005,1.76925594,0.50467029
464,12222,11758,0.05676836,0.00924583,0.00263540
465,2350879,2350414,10.87237368,1.77015752,0.50419426
466,2374873,2374407,10.93625320,1.77993535,0.50661215
467,2437642,2437175,11.17728083,1.81852946,0.51722287
468,2443782,2443314,11.15759917,1.81469573,0.51576020
469,2485219,2484750,11.29845291,1.83696677,0.52171408
470,2498912,2498442,11.31241286,1.83859976,0.52180269
471,2552306,2551835,11.50511402,1.86927364,0.53012767
472,192325,191853,0.86328013,0.14021164,0.03973569
473,2586419,2585946,11.56049953,1.87698011,0.53155233
474,2648061,2647587,11.78613203,1.91295819,0.54135497
475,2656627,2656152,11.77452410,1.91042069,0.54025222
476,1450,974,0.00639962,0.00103799,0.00029333
477,2673939,2673462,11.75207995,1.90548010,0.53809078
478,3779,3301,0.01653945,0.00268079,0.00075650
479,679,200,0.00295937,0.00047951,0.00013522
480,2701057,2700577,11.72333767,1.89888951,0.53509471
481,625,144,0.00270141,0.00043741,0.00012317
482,2747636,2747154,11.82674196,1.91434913,0.53869334
483,2753056,2752573,11.80105363,1.90955046,0.53696653
484,2792141,2791657,11.91918670,1.92802054,0.54178121
485,2844728,2844243,12.09364651,1.95558786,0.54914420
486,2889679,2889193,12.23424190,1.97766397,0.55495648
487,2162,1675,0.00911586,0.00147309,0.00041308
488,2927837,2927349,12.29439751,1.98606964,0.55654123
489,2940146,2939657,12.29564112,1.98561391,0.55602811
490,2961485,2960995,12.33438151,1.99121316,0.55721056
491,935,444,0.00387836,0.00062590,0.00017503
492,717,225,0.00296203,0.00047786,0.00013354
493,2962,2469,0.01218684,0.00196546,0.00054887
494,2979214,2978720,12.20809225,1.96824222,0.54926804
495,592,97,0.00241608,0.00038940,0.00010859
496,1175,679,0.00477611,0.00076952,0.00021445
497,5679,5182,0.02299107,0.00370311,0.00103129
498,3044924,3044426,12.27772133,1.97689775,0.55017785
499,3080237,3079738,12.37038004,1.99117405,0.55377426
500,1675,1175,0.00670000,0.00107810,0.00029963
501,8115,7614,0.03233055,0.00520068,0.00144442
502,4281,3779,0.01698783,0.00273178,0.00075820
503,7539,7036,0.02979736,0.00479012,0.00132860
